id	institution sameAs	institution	TM collection	idno type=[institution]	Org database type	idno type=local	idno type=TopBib	alias	type	povenance id	provenance	note type=def	Wikidata	note type=Mariette
CoEg_obj_00000001	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	A 26	Atlas	http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=31644			statue			Sphinx (Basse-Époque, XXIXe dynastie)		
CoEg_obj_00000002	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	N 391	Atlas	http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=18923			statue	CoEg_place_00000004	Sérapéum	Six sphinx (époque ptolémaïque ; fouilles du Sérapéum)		
CoEg_obj_00000003	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	C 318	Atlas	http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=18925			stela	CoEg_place_00000004	Sérapéum	Stèle (Basse-Époque, XXXe dynastie ; fouilles du Sérapéum) originellement encastrée dans le socle du lion N 432 A		
CoEg_obj_00000004	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	N 432 A	Atlas	http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=18924			statue	CoEg_place_00000004	Sérapéum	Lion (Basse-Époque, XXXe dynastie ; fouilles du Sérapéum) ; son socle abritait la stèle C 318		
CoEg_obj_00000005	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	N 432 B	Atlas	http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=18934			statue	CoEg_place_00000004	Sérapéum	Lion (Basse-Époque, XXXe dynastie ; fouilles du Sérapéum)		
CoEg_obj_00000006	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	N 432 C	Atlas	http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=18930			statue	CoEg_place_00000004	Sérapéum	Lion (Basse-Époque, XXXe dynastie ; fouilles du Sérapéum)		
CoEg_obj_00000007	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	N 390	Atlas	http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=20284			statue	CoEg_place_00000004	Sérapéum	Statue d'Apis (Basse-Époque, XXXe dynastie ; fouilles du Sérapéum)		
CoEg_obj_00000008	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	E 3023	Atlas	http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=14135			statue	CoEg_place_00000004	Sérapéum	Le « Scribe accroupi » ([Ancien Empire, Ive-Ve dynastie ?] ; fouilles du Sérapéum)		
CoEg_obj_00000009	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	N 405	Atlas	http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=20285			stela	CoEg_place_00000004	Sérapéum	Stèle (Basse-Époque ; XXVIe dynastie ; fouilles du Sérapéum)		Reproduite dans Mariette, Auguste, Choix de monuments et de dessins découverts ou exécutés pendant le déblaiement du Sérapéum de Memphis, Paris, Gide et J. Baudry, 1856, pl. 7 (https://gallica.bnf.fr/ark:/12148/bpt6k3041140v/f31.image)
CoEg_obj_00000010	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	N 413	Atlas	http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=27866			stela	CoEg_place_00000004	Sérapéum	Stèle (Troisième Période intermédiaire, XXIIe dynastie ; fouilles du Sérapéum)		
CoEg_obj_00000011	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	A 90				N 91	statue			Statue de Neshor présentant une triade (Basse-Époque, XXVIe dynastie). Autre numéro d'inventaire : N 91.		
CoEg_obj_00000012	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	N 420	Atlas	http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=18928			misc	CoEg_place_00000004	Sérapéum	Porte (fouilles du Sérapéum)		Mariette lui a attribué le numéro 5
CoEg_obj_00000013	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	N 394 1 A à D	Atlas	http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=23158			misc	CoEg_place_00000004	Sérapéum	Vases canopes d'Apis réalisés sous Amenhotep III		
CoEg_obj_00000014	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	N 394 2 A à D	Atlas	http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=27861			misc	CoEg_place_00000004	Sérapéum	Vases canopes d'Apis réalises sous Toutânkhamon		
CoEg_obj_00000015	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	N 407					stela	CoEg_place_00000004	Sérapéum	Stèle (Basse-Époque, XXVIIe dynastie)		
CoEg_obj_00000016	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	N 481					stela	CoEg_place_00000004	Sérapéum	Stèle (Troisième Période intermédiaire, XXIIe dynastie). Autre numéro d'inventaire : AF 123		
CoEg_obj_00000017	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	N 488					stela	CoEg_place_00000004	Sérapéum	Stèle (Troisième Période intermédiaire, XXIIe dynastie)		
CoEg_obj_00000018	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	IM 3736					stela	CoEg_place_00000004	Sérapéum	Stèle (Troisième Période intermédiaire, XXIIe dynastie). Autre numéro d'inventaire : S 1905		
CoEg_obj_00000019	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	N 347	Atlas	http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=20282&langue=fr			statue	CoEg_place_00000004	Sérapéum	Statue de Bès (Basse-Époque, XXXe dynastie ; fouilles du Sérapéum)		Mariette utilise le nom de Typhon
CoEg_obj_00000021	CoEg_org_00000005	British Museum	www.trismegistos.org/collection/193	EA 24	online	https://www.britishmuseum.org/collection/object/Y_EA24			stela			Pierre de Rosette (époque ptolémaïque ; Rosette)	https://www.wikidata.org/wiki/Q48584	
CoEg_obj_00000022	CoEg_org_00000021	Musée de Turin	www.trismegistos.org/collection/334	1791	online	http://collezioni.museoegizio.it/it-IT/material/Cat_1791			papyrus			Livre des morts d'Ioufânkh (Basse-Époque, XXVIe dynastie ; Thèbes ?)		
CoEg_obj_00000024		British Library	www.trismegistos.org/collection/192						codex			Codex alexandrinus, manuscrit biblique.	https://www.wikidata.org/wiki/Special:EntityPage/Q318233	Appartenait alors aux collections du British Museum
CoEg_obj_00000025	CoEg_org_00000021	Musée de Turin	www.trismegistos.org/collection/334	7155	online	http://collezioni.museoegizio.it/it-IT/material/Cat_7155			misc			« Table isiaque », ou mensa Isiaca (époque romaine ?)	https://www.wikidata.org/wiki/Special:EntityPage/Q3817829	
CoEg_obj_00000026	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	A 105	Atlas	http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=14148&langue=fr			statue	CoEg_place_00000004	Sérapéum	Statue de Sékhemka (Ancien Empire, Ve dynastie ; fouilles du Sérapéum)		
CoEg_obj_00000027	CoEg_org_00000021	Musée de Turin	www.trismegistos.org/collection/334	2031	online	http://collezioni.museoegizio.it/it-IT/material/Cat_2031 ; https://papyri.museoegizio.it/!8			papyrus			papyrus érotique de Turin	https://www.wikidata.org/wiki/Q3362985	
CoEg_obj_00000028	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	A 102	Atlas	http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=14145&langue=fr			statue	CoEg_place_00000004	Sérapéum	Groupe familial de Sékhemka (Ancien Empire, Ve dynastie ; fouilles du Sérapéum)		
CoEg_obj_00000029	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	A 103	Atlas	http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=14146&langue=fr			statue	CoEg_place_00000004	Sérapéum	Statue de Sékhemka (Ancien Empire, Ve dynastie ; fouilles du Sérapéum)		
CoEg_obj_00000030	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	A 104	Atlas	http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=14147&langue=fr			statue	CoEg_place_00000004	Sérapéum	Statue de Sékhemka (Ancien Empire, Ve dynastie ; fouilles du Sérapéum)		
CoEg_obj_00000031	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	N 410				IM 4246	stela	CoEg_place_00000004	Sérapéum	Stèle funéraire d'Apis, an LII de Ptolémée VIII Évergète II (époque ptolémaïque ; fouilles du Sérapéum)		
CoEg_obj_00000033	CoEg_org_00000022	Musée du Caire	www.trismegistos.org/collection/73	CG 34516			http://topbib.griffith.ox.ac.uk//dtb.html?topbib=309-020-070		relief	CoEg_place_00000001	Saqqarah	table de Saqqarah	https://www.wikidata.org/wiki/Q1054563	
CoEg_obj_00000034	CoEg_org_00000022	Musée du Caire	www.trismegistos.org/collection/73	JE 60539			http://topbib.griffith.ox.ac.uk//dtb.html?topbib=401-260-010		stela	CoEg_place_00000068	Tanis	stèle de l'an 400	https://www.wikidata.org/wiki/Q22935888	
CoEg_obj_00000035	CoEg_org_00000022	Musée du Caire	www.trismegistos.org/collection/73	JE 48863 			http://topbib.griffith.ox.ac.uk/dtb.html?topbib=701-070-130-020-080		stela	CoEg_place_00000102	Gebel Barkal	stèle du songe (Gebel Barkal)	https://www.wikidata.org/wiki/Q3501440	
CoEg_obj_00000036	CoEg_org_00000005	British Museum	www.trismegistos.org/collection/193	EA 9999	online	https://www.britishmuseum.org/collection/object/Y_EA9999-1			papyrus	CoEg_place_00000019	Thèbes	papyrus Harris	https://www.wikidata.org/wiki/Q1578003	
